Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,0.926829268292683,0.9166666666666666,0.9428571428571428,0.9295774647887324,0.9771428571428571
K-Nearest Neighbors,0.8634146341463415,0.8737864077669902,0.8571428571428571,0.8653846153846154,0.9629047619047618
Logistic Regression,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.9298095238095239
